clip_id,player,source_url,start_s,end_s,fps,grade,viewing_angle_est,notes
messi_liverpool_2019,Messi,https://www.youtube.com/watch?v=9mlybuNYGtE,18.0,21.5,25,verified-slowmo,diagonal 25-40deg (est),track VERIFIED (ballistic PASS stabilized, full flight f8-85); replay is ~2.5-3x SLOW MOTION - time-scale ruling needed, live kick at t~3-5 of source is true-time alternative; noise ISOTROPIC 1.3px + 2.2px stab drift (eff ~2.6px); old 1.8/19 figures void (pan artifact)
ronaldo_spain_2018,Ronaldo,https://www.youtube.com/watch?v=1EmAwblXnIY,3.2,6.2,50,blocked-retrack,49deg (measured at frame 0),CAMERA PANS during flight (~13 px/frame from f~50; 1282 px total) - frame-0 calibration valid pre-pan only; per-frame ECC homographies computed; SAM2 failed 3 ways (divot-lock/spare-ball/bird) - all four guards passed silently; classical bg-sub detection verified-negative (no ball found; RANSAC selected noise) - needs TrackNetV3; earlier noise numbers (1.6/4.9 px) measured on garbage window - VOID
calhanoglu_dortmund_2014,Calhanoglu,https://www.youtube.com/watch?v=nK58AssP9tc,42.4,48.4,25,gate-only,diagonal (est),slow-motion replay ~2x: DO NOT FIT (time scale correlates with launch speed); tracking gate evidence only; live kick at t=5-9 is the true-time candidate if this player joins the comparison set
messi_live,Messi,live segment of 9mlybuNYGtE,1.4,3.8,25,ball-tracked-verified,measured via goal-PnP,flight f16-46 tracked (circle-on-ball verified incl. top-corner arrival); lost only at net; per-frame tripod poses solved
payet,Payet,https://www.youtube.com/watch?v=g_kebXl_ei8,3.067,4.667,30,tracking-blocked,measured via goal-PnP,"BLOCKED after 3 source renditions, all evidence rendered. 480p original: ball invisible vs crowd even by eye. 1080p re-broadcast (payet3/hd1): TV re-capture with FRAME BLENDING (50i->30p) - ball is a ~600px multi-frame smear, no compact detector can work; poses solved+verified via SIFT corner transfer from 480p (481 inliers). 1080p slow-mo comp (payet4/hd2): ~2.1x slow-mo, poses verified (camera C matches payet3 solve to 0.7m), but every chain candidate failed physics checks (impossible vertical speed / lands 10m off goal) - ball never visually confirmed mid-flight; crowd/flag motion mimics ball blobs. UNBLOCK: TrackNetV3 finetuned, or a clean direct-broadcast source. Deprioritized per scale-up goal."
messi2,Messi,https://www.youtube.com/watch?v=pORjd5ZkTrs,16.5,18.8,29.97,fitted-ba,measured via goal-PnP,"full chain done: track recovered through white-post crossing (f19 occluded, omitted), 4 pre-trim streak obs added (kick at source f490 = trim -4.5 MEASURED, fractional), launch anchor from resting-ball pixel (+2.04, 21.95) 22.0 m out; BA fit: speed 27.7, elev 13.4, azim -5.2, w_perp 144rpm [140,189], ball cross rms 2.29 px, corners 2.84 px, goal-mouth 0.63 m (hinge active); CAVEATS: BA status 0 (max iter), kick-frame +/-0.5fr systematic dominates (speed 27.3-28.9, elev 11.3-14.1, azim -5..-11, w_perp 100-460), overlays user-unconfirmed; principal-point bug found+fixed here (960/540 hardcode vs 720p)"

ronaldo_wc,Ronaldo,https://www.youtube.com/watch?v=eGzsBNausnE,7.5,13.0,50,fitted-ba,"wide broadcast, goal right","full chain: 57 verified obs at TRUE 50fps (f51-105), ballistic PASS, tiles verified to net; kick f48.7 measured (contact f48 boot-on-ball), launch anchor (-1.39,21.41) 21.5m; crossing via --box (-3.2,2.0) MEASURED-ENTRY override - last-pixel back-projection invalid at this oblique camera (mapped 2m+ outside goal, manufactured fake curl before fix); BA fit: speed 26.6, elev 21.4, azim -11.6, w_perp 2302rpm [2238,2368], ball cross 0.80px, corners 1.01px, goal-mouth 0.72m; kick+/-0.7fr envelope: speed 25.3-26.9, spin ~2300 stable; CAVEAT: spin factor S~1.0 extreme - quote as 'maximal sustained curl', C_l saturation makes |omega| partially model-dependent"
wardprowse_1,Ward-Prowse,https://www.youtube.com/watch?v=d2Axeq_53S4,,,29.97,launch-verified-only,official PL clip,"calibration verified; kick f51.5 + rest pixel + launch streaks f52-58 verified (grass bg); ALL late-flight reads proved FALSE via static-under-pan test: f80-84 'ball' = steward vest (moved backward vs flight), f88 'entry' = crowd shirt; goal-region measurement (8px yellow ball vs crowd+red boards at 55m) beyond current toolset; NO FIT SHIPPED. Unblock: color-invariant detector or a closer-camera source"
wardprowse_2,Ward-Prowse,https://www.youtube.com/watch?v=nH4PTj8jRqs,,,29.97,downloaded-unvetted,official PL clip,1080p official Premier League upload; kick not yet located; needs blending vet + trim
wardprowse_3,Ward-Prowse,https://www.youtube.com/watch?v=WzJzu7DhyJw,,,29.97,downloaded-unvetted,official PL clip,1080p official Premier League upload; kick not yet located; needs blending vet + trim
